	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
HIN-57_S34	33494	30771	2871	2871	2871	2871	2871	2778	2778
HIN-58_S42	32456	30194	2672	2672	2672	2672	2672	2618	2618
HIN-59_S50	36055	33142	3565	3565	3565	3565	3565	2035	2035
HIN-6_S79	24833	22091	2098	2098	2098	2098	2098	1402	1402
HIN-7_S87	1949	506	151	151	151	151	151	117	117
HIN-8_S95	36459	33142	2476	2476	2476	2476	2476	2233	2233
HIN-9_S8	32662	29337	2323	2323	2323	2323	2323	1222	1222
MID-10_S90	2942	2309	326	326	326	326	326	297	297
MID-11_S98	46784	43703	6478	6478	6478	6478	6478	6175	6175
MID-12_S11	31802	29037	2790	2790	2790	2790	2790	2302	2302
MID-16_S19	17105	15907	2056	2056	2056	2056	2056	28	28
MID-17_S27	46115	43119	4199	4199	4199	4199	4199	4092	3802
MID-18_S35	20589	18547	2326	2326	2326	2326	2326	2314	2308
MID-19_S43	31458	29322	3511	3511	3511	3511	3511	3068	3068
MID-32_S51	7263	5780	821	821	821	821	821	789	789
MID-35_S59	1497	705	183	183	183	183	183	173	173
MID-36_S67	24940	22873	1979	1979	1979	1979	1979	1878	1878
MID-37_S75	32920	30315	3750	3750	3750	3750	3750	3747	3747
MID-38_S83	32131	29390	3965	3965	3965	3965	3965	3947	3947
MID-39_S91	14724	12957	2184	2184	2184	2184	2184	2176	2176
MID-40_S99	43229	40758	9028	9028	9028	9028	9028	8922	8649
MID-42_S12	135957	125042	12569	12569	12569	12569	12569	11156	10073
MID-44_S20	15285	13966	779	779	779	779	779	706	706
MID-45_S28	1374	437	46	46	46	46	46	27	27
MID-46_S36	25635	23036	2304	2304	2304	2304	2304	2241	2241
MID-47_S44	30363	27745	2423	2423	2423	2423	2423	2413	2379
MID-48_S52	6043	4629	568	568	568	568	568	504	504
MID-49_S60	24737	21922	1595	1595	1595	1595	1595	1482	1482
MID-50_S68	28822	26108	2323	2323	2323	2323	2323	2261	2199
MID-51_S76	58938	53643	4627	4627	4627	4627	4627	4424	4401
MID-52_S84	27223	23706	2539	2539	2539	2539	2539	2275	2275
MID-53_S92	28788	26007	2934	2934	2934	2934	2934	1802	1802
MID-55_S100	34765	31543	3438	3438	3438	3438	3438	3356	3089
MID-57_S101	5942	3373	503	503	503	503	503	487	487
MID-58_S109	1391	853	159	159	159	159	159	155	155
MID-59_S117	13219	11240	1551	1551	1551	1551	1551	1339	1339
MID-6_S58	38141	35404	3255	3255	3255	3255	3255	2214	2214
MID-7_S66	2115	1262	160	160	160	160	160	149	149
MID-8_S74	2200	1092	272	272	272	272	272	260	260
MID-9_S82	17584	15402	1246	1246	1246	1246	1246	619	619
SH-L1_S114	205006	203542	78586	78586	78586	78586	78586	78146	77613
SH-L2_S122	149977	149130	63835	63835	63835	63835	63835	63419	63419
SH-L3_S130	98305	97629	42965	42965	42965	42965	42965	42674	42657
SH-L4_S138	29340	29135	12865	12865	12865	12865	12865	12801	12801
SH-L5_S146	147206	146179	54565	54565	54565	54565	54565	53755	53755
SH-S1_S184	111982	110805	42176	42176	42176	42176	42176	40261	40157
SH-S2_S192	202329	200611	72574	72574	72574	72574	72574	71605	71187
SH-S3_S105	143218	142090	54020	54020	54020	54020	54020	53422	53252
SH-S4_S113	81401	80804	33363	33363	33363	33363	33363	32747	32747
SH-S5_S121	258560	256869	111627	111627	111627	111627	111627	110147	109427
SH-W1_S139	128710	128018	55798	55798	55798	55798	55798	54706	54426
SH-W2_S147	106822	105695	16643	16643	16643	16643	16643	16008	16008
SH-W3_S155	109613	108472	30431	30431	30431	30431	30431	29404	29404
SH-W4_S163	73054	72347	23354	23354	23354	23354	23354	22743	22521
SH-W5_S171	51998	51686	22496	22496	22496	22496	22496	19176	19176
SH-WD1_S164	21455	21200	6928	6928	6928	6928	6928	6467	6467
SH-WD2_S172	24979	24776	8663	8663	8663	8663	8663	8529	8529
SH-WD3_S180	26585	26254	8001	8001	8001	8001	8001	7628	7628
SH-WD4_S188	19968	19689	5973	5973	5973	5973	5973	5733	5733
