	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
SHS5_S10	81449	80143	53641	53641	53641	53641	53641	34181	33487
SKL1_S11	100848	99352	73336	73336	73336	73336	73336	63811	61263
SKL2_S12	98592	97071	72626	72626	72626	72626	72626	63277	61157
SKL3_S13	126523	124444	90734	90734	90734	90734	90734	80246	76856
SKS1_S3	88235	86516	55946	55946	55946	55946	55946	35816	35235
SKS2_S4	174065	171398	121363	121363	121363	121363	121363	84158	82903
SKS3_S5	154195	152185	108525	108525	108525	108525	108525	77071	76007
SKS4_S6	120645	118771	81284	81284	81284	81284	81284	60132	59133
SKS5_S7	148470	146124	101821	101821	101821	101821	101821	70235	69261
TKPL2_S29	94256	92829	67084	67084	67084	67084	67084	61858	58641
TKPS3_S1	134869	132535	90745	90745	90745	90745	90745	64948	63357
TKPS5_S2	104175	102218	70202	70202	70202	70202	70202	45501	44703
CH10_S67	225863	223488	177764	177764	177764	177764	177764	170078	129722
CH12_S68	152240	150640	120213	120213	120213	120213	120213	116638	92298
CH38_S69	222378	219863	172856	172856	172856	172856	172856	165811	138890
CH50_S70	188784	186838	147210	147210	147210	147210	147210	141575	118515
CH6_S64	207813	205496	162088	162088	162088	162088	162088	157063	137799
CH8_S65	217815	215573	169660	169660	169660	169660	169660	162745	125400
CH9_S66	207630	205406	161172	161172	161172	161172	161172	154351	133360
GO10_S5	37347	36765	30952	30952	30952	30952	30952	30512	30247
GO11_S6	106436	94289	7154	7154	7154	7154	7154	6291	6177
GO12_S7	50853	50272	42003	42003	42003	42003	42003	41570	41538
GO16_S8	67183	65063	53385	53385	53385	53385	53385	50665	48397
GO17_S9	142718	138774	117460	117460	117460	117460	117460	114861	112199
GO18_S10	48524	42017	32858	32858	32858	32858	32858	30737	30022
GO19_S11	341	309	40	40	40	40	40	38	38
GO32_S12	42052	40846	33304	33304	33304	33304	33304	32660	32318
GO35_S13	34745	34231	26213	26213	26213	26213	26213	25601	25216
GO36_S14	44539	44082	36110	36110	36110	36110	36110	35989	35943
GO37_S15	52419	51159	41910	41910	41910	41910	41910	40912	40480
GO38_S16	74584	12300	29	29	29	29	29	11	11
GO39_S17	48778	38574	29386	29386	29386	29386	29386	28945	27384
GO40_S18	42825	42136	33000	33000	33000	33000	33000	32602	32242
GO42_S19	52999	43444	30740	30740	30740	30740	30740	29618	29012
GO44_S20	33717	30460	24290	24290	24290	24290	24290	23572	23082
GO45_S21	56670	42149	31380	31380	31380	31380	31380	30430	29756
GO46_S22	56071	32601	23845	23845	23845	23845	23845	23277	22614
GO47_S23	149728	147880	121728	121728	121728	121728	121728	119602	118073
GO48_S24	99790	12104	256	256	256	256	256	183	183
GO49_S25	14904	13530	10228	10228	10228	10228	10228	10120	10120
GO50_S26	46145	23269	15294	15294	15294	15294	15294	14931	14912
GO51_S27	36229	6747	753	753	753	753	753	694	694
GO52_S28	35171	30801	22574	22574	22574	22574	22574	21413	20941
GO53_S29	37995	36330	29576	29576	29576	29576	29576	29003	28949
GO55_S30	59471	22423	13789	13789	13789	13789	13789	13492	13094
GO57_S31	44129	43330	36778	36778	36778	36778	36778	36544	36434
GO58_S32	39172	7638	33	33	33	33	33	31	31
GO59_S33	79099	29855	15459	15459	15459	15459	15459	15136	14899
GO6_S1	41602	35287	27066	27066	27066	27066	27066	25952	23962
GO7_S2	49242	47771	38859	38859	38859	38859	38859	36896	32001
GO8_S3	76148	74298	57789	57789	57789	57789	57789	56856	56301
GO9_S4	38550	37849	31098	31098	31098	31098	31098	30555	30458
HG47_S72	198243	196445	162087	162087	162087	162087	162087	159702	146060
